endTime,artistName,trackName,msPlayed
2021-11-07 07:55,JPEGMAFIA,PRONE!,162000
2021-11-07 07:56,JPEGMAFIA,"Lifes Hard, Here's A Song About Sorrel",61625
2021-11-07 07:58,JPEGMAFIA,Thot Tactics,170360
2021-11-07 08:02,JPEGMAFIA,Free The Frail,210569
2021-11-07 08:05,JPEGMAFIA,Post Verified Lifestyle,215470
2021-11-07 08:07,JPEGMAFIA,BasicBitchTearGas,75969
2021-11-07 08:09,JPEGMAFIA,DOTS FREESTYLE REMIX,127604
2021-11-07 08:10,JPEGMAFIA,BUTTERMILK JESUS TYPE BEAT,69261
2021-11-07 08:14,JPEGMAFIA,Papi I Missed U,242175
2021-11-07 08:17,JPEGMAFIA,"Jesus Forgive Me, I Am A Thot",156533
2021-11-07 08:20,JPEGMAFIA,Kenan Vs. Kel,181113
2021-11-07 08:23,JPEGMAFIA,Beta Male Strategies,198008
2021-11-07 08:24,JPEGMAFIA,JPEGMAFIA TYPE BEAT,54929
2021-11-07 08:27,JPEGMAFIA,Grimy Waifu,175201
2021-11-07 08:29,JPEGMAFIA,PTSD,148396
2021-11-07 08:32,JPEGMAFIA,Rap Grow Old & Die x No Child Left Behind,167572
2021-11-07 08:46,JPEGMAFIA,All My Heroes Are Cornballs,193702
2021-11-07 08:49,internetboy,mars man,127320
2021-11-07 08:52,internetboy,LoveIsBlue&green,179983
2021-11-07 08:55,DrownMili,War Outside,216540
2021-11-07 08:59,Kamiyada+,3 AM,204029
2021-11-07 09:02,Cresylic,action,198530
2021-11-07 09:04,internetboy,three ho's,103140
2021-11-07 09:07,Ty Dolla $ign,"Ego Death (feat. Kanye West, FKA twigs & Skrillex)",231618
2021-11-07 09:11,CHRIST DILLINGER,Desperado,189474
2021-11-07 09:12,gizmo,Rampage,78756
2021-11-07 09:16,Afourteen,Suburban Sociopath,234794
2021-11-07 09:18,JGRXXN,Monster,141120
2021-11-07 09:22,Breakbot,Baby I'm Yours,215506
2021-11-07 09:24,Afourteen,BAD GUY,130000
2021-11-07 09:28,Aaron Smith,Dancin - Krono Remix,256000
2021-11-07 09:30,Neilaworld,ITACHii,113684
2021-11-07 09:34,Jack Stauber,Buttercup,208026
2021-11-07 09:36,Vincent Augustus,I Think I'm Tired,151468
2021-11-07 09:38,Booshi,Gucci Gucci Louis Louis,132007
2021-11-07 09:41,ITSOKTOCRY,DEADSET RADIO FUTURE,125648
2021-11-07 09:46,"Tyler, The Creator",IFHY (feat. Pharrell),310283
2021-11-07 09:46,Channel Tres,Black Moses (feat. JPEGMAFIA),2015
2021-11-07 09:50,Channel Tres,Black Moses (feat. JPEGMAFIA),260224
2021-11-07 09:54,FKJ,Risk,238834
2021-11-07 09:58,Redhands,ORANGE SODA,219428
2021-11-07 10:02,Rav,Lovedrug (Off That),263830
2021-11-07 10:04,Jaxxon D. Silva,A Swollen Song,130370
2021-11-07 10:07,JPEGMAFIA,black stacey dash,172729
2021-11-07 10:11,MED,The Stroll,242920
2021-11-07 10:13,Ill Addicts,YSL,110680
2021-11-07 10:31,Noname,Rainforest,74840
2021-11-07 12:09,Noname,Rainforest,87708
2021-11-07 12:11,The Garden,Make a Wish,108117
2021-11-07 12:13,Zotiyac,Siccmade,83217
2021-11-07 12:16,Jadeci,Clone me,150977
2021-11-07 12:18,ghostofblu,STARVE,159608
2021-11-07 12:22,City Morgue,DRAINO (feat. Denzel Curry),202613
2021-11-07 12:25,83HADES,RUNTZ FREESTYLE,229820
2021-11-07 12:27,Afourteen,Schmuck,108299
2021-11-07 12:30,Jadeci,Nine,122276
2021-11-07 12:32,Killstation,Broken,126364
2021-11-07 12:35,Terror Reid,Dead to Me,191984
2021-11-07 12:39,Lilbeefroast,Kill It,196675
2021-11-07 12:42,93FEETOFSMOKE,fruit,178795
2021-11-07 12:45,Kamiyada+,SOCKS5,184785
2021-11-07 12:47,Zotiyac,Price Of A Body,163467
2021-11-07 12:49,$NOT,Human (feat. Night Lovell),105810
2021-11-08 05:33,$NOT,Human (feat. Night Lovell),66437
2021-11-08 05:35,City Morgue,HURTWORLD '99,135977
2021-11-08 05:37,Zotiyac,Jungle Book Freestyle,120933
2021-11-08 05:40,Jadeci,Serotonin Ghost,141410
2021-11-08 05:42,DrownMili,March First,111500
2021-11-08 05:44,Evan the Red Headed,I'm Not Good at Sports,140042
2021-11-08 05:47,Ethan Ross,I'm Serious,175500
2021-11-08 05:49,SwuM,High,142014
2021-11-08 05:54,The Virus and Antidote,IronOxide,279651
2021-11-08 05:56,City Morgue,HOT SHELLS,134654
2021-11-08 06:00,Zotiyac,Born Killer 2,218451
2021-11-08 06:13,Getter,2 High (feat. $uicideboy$),61066
2021-11-08 06:18,Getter,2 High (feat. $uicideboy$),93044
2021-11-08 06:20,Jadeci,Crackinupyojaw,105684
2021-11-08 06:22,Lil Kaine,Hope,117122
2021-11-08 06:23,PHONK WALKER,Make Luxury,95992
2021-11-08 06:25,Joey the Kid,98' Honda,135784
2021-11-08 06:27,City Morgue,YELLOW PISS,121256
2021-11-08 06:30,Zotiyac,Choppa Talkin,167925
2021-11-08 06:33,Jadeci,"Suicide, Goodbye",147343
2021-11-08 06:34,Zotiyac,Choppa Talkin,862
2021-11-08 06:34,SPYDER550,GODDD MODE,0
2021-11-08 06:34,Jadeci,"Suicide, Goodbye",1064
2021-11-08 06:34,City Morgue,YELLOW PISS,1144
2021-11-08 06:34,Sadfriendd,UPPERCUTFREESTYLE,80063
2021-11-08 06:34,Sadfriendd,UPPERCUTFREESTYLE,1976
2021-11-08 06:36,Joey the Kid,98' Honda,135784
2021-11-08 06:39,City Morgue,YELLOW PISS,121256
2021-11-08 06:41,Zotiyac,Choppa Talkin,167925
2021-11-08 06:44,Jadeci,"Suicide, Goodbye",147343
2021-11-08 06:45,Sadfriendd,UPPERCUTFREESTYLE,80063
2021-11-08 06:57,SPYDER550,GODDD MODE,111176
2021-11-08 12:38,SPYDER550,GODDD MODE,112364
2021-11-08 12:40,Sista Mas,Hoez,166426
2021-11-08 12:43,KIDx,GEEKZ,157711
2021-11-08 12:45,6YNTHMANE,TRIPLESIX MEMPHIS,117164
2021-11-08 12:48,Jupiluxe,"Coastal Love, Playboy",165500
2021-11-08 12:52,Getter,Bury Me,281520
2021-11-08 12:54,Zotiyac,What Typa Shit,112568
2021-11-08 12:56,City Morgue,16 TOES,103786
2021-11-08 12:58,CHRIST DILLINGER,ALASKA,123578
2021-11-08 13:00,Jadeci,Chrome,123067
